lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.11836042433333334,0.3932731006,3972.0,375.0,1.0,17.870090634441087,0.14373062834601297
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.1232421507,0.35559943931666665,4231.0,311.0,1.0,16.8487355235169,0.15182291301359294
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.12455846861666667,0.4018246100333333,4767.0,224.0,1.0,14.960981749528004,0.16392546165818364
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.11722356008333333,0.46006220065,4563.0,347.0,1.0,15.563225947841332,0.16478208829120608
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,1.6712880100833334,1.0261325094,5808.0,729.0,1.0,24.484159779614323,0.1290751315012236
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,1.5994354522833334,0.5573946441666666,5815.0,477.0,1.0,24.453826311263974,0.1255283089191907
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,1.5758087193833332,0.7023671909333333,6476.0,634.0,1.0,21.992742433600988,0.1468000702123925
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,1.6548350716333333,0.6555698288,7290.0,425.0,1.0,19.57434842249657,0.1310048564440738
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,1.5865651521166666,0.83116630115,6354.0,591.0,1.0,22.361189801699716,0.15832999021698585
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,1.6085393765666667,0.9504688576166667,7465.0,898.0,1.0,28.623442732752846,0.12602375581493303
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,1.6400409307666666,1.82924339195,6963.0,757.0,1.0,30.691225046675285,0.11687716129394533
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,1.7740260948166666,1.10736898545,7170.0,520.0,1.0,29.774198047419805,0.11111059063804272
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,1.6612318864666666,1.1817726095833334,6623.0,686.0,1.0,32.24324324324324,0.11234060885893972
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,1.68637510125,1.23292692335,8117.0,502.0,1.0,26.35345571023777,0.13234943504541608
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,1.8071048802666667,7.778007454333333,8327.0,814.0,1.0,34.202834153957006,0.12088186034753359
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,1.71445261125,10.428429614316666,7510.0,892.0,1.0,37.9237017310253,0.10369127163307082
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,1.7688211710166666,13.840215509,7190.0,1097.0,1.0,39.6115438108484,0.10590680706583756
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,1.7737101999666667,14.791264000216668,8737.0,1179.0,1.0,32.597802449353324,0.11588198323777155
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,1.72937867975,6.5929929820333335,8394.0,817.0,1.0,33.92983083154634,0.11183011653505708
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.21156353033333333,3.556145260466667,3487.0,101.0,1.0,8.23774017780327,0.12330722367275893
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.11012772463333333,3.552785220716667,3374.0,123.0,1.0,8.385892116182573,0.12016681982045663
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.1092363725,3.4629222813666667,2962.0,116.0,1.0,9.656313301823092,0.10502762044612265
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.11169211553333333,3.6460380299,3754.0,66.0,1.0,7.616675546084177,0.1318154793131186
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.12370468303333333,3.54081555155,3584.0,94.0,1.0,7.956752232142857,0.12669635655924535
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.1287452271,3.6574039070833333,4579.0,237.0,1.0,15.506442454684429,0.06754549039490733
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.12694972686666667,3.6709494562166665,4514.0,293.0,1.0,15.806380150642445,0.06400840925017519
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.12387491851666667,3.7330765621333333,5269.0,221.0,1.0,13.535016132093377,0.07623815132649055
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.12772489236666668,3.7456508162166666,4615.0,269.0,1.0,15.456338028169014,0.06713771011201301
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.1160242351,3.72835442585,5041.0,189.0,1.0,14.167228724459433,0.07177562765167957
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.5,2,1.7104640759166667,5.6116371486166665,6454.0,495.0,1.0,22.036876355748372,0.049365094989664335
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.5,2,1.56251186935,5.31115801265,5456.0,564.0,1.0,26.17485337243402,0.03954905118689168
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.5,2,1.5793792756666667,5.685545152983333,6466.0,511.0,1.0,22.043303433343645,0.047168355176381446
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.5,2,1.6353021729333332,5.43131268825,5760.0,650.0,1.0,24.737673611111113,0.04201727852676347
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.5,2,1.5896385626,5.631340363516666,6042.0,606.0,1.0,23.548328368090036,0.045467004969109985
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.75,2,1.6802271907333333,5.7070740035666665,8148.0,629.0,1.0,26.213794796269024,0.04129874994147666
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.75,2,1.63629791145,5.346691728266666,7250.0,1060.0,1.0,29.47751724137931,0.03642752863666991
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.75,2,1.6065090078666666,5.53502422835,6492.0,971.0,1.0,32.87276648182378,0.03325523639941896
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.75,2,1.6735247669333333,5.6531284801,7550.0,731.0,1.0,28.29774834437086,0.036709915374822134
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,0.75,2,1.74150933435,6.089904525316666,8466.0,761.0,1.0,25.22962437987243,0.04286637265091716
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,1.0,2,1.7406003397666667,5.701835827733333,7283.0,1045.0,1.0,39.10572566250172,0.028043552300329698
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,1.0,2,1.7509231175666666,5.5999860814,7514.0,848.0,1.0,37.903513441575726,0.03010459714824425
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,1.0,2,1.8399898499833334,5.717300760883333,7596.0,1489.0,1.0,37.49433912585572,0.029363744570884844
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,1.0,2,1.7387850302333334,5.543508971333333,6802.0,899.0,1.0,41.87106733313731,0.026168598384168927
hyperplanes-projection,0.1,2,1,true,4,1000,6,entropy,1.0,2,1.8033210186666666,5.7607264934,7445.0,887.0,1.0,38.25480188045668,0.02951823515573704
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.08878711835,0.22582052421666668,1910.0,140.0,1.0,15.0565445026178,0.15463523193546144
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.07037459538333334,0.2246450509,2016.0,194.0,1.0,14.026289682539682,0.16508116136789616
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.0702246569,0.2303252227,2222.0,136.0,1.0,12.838883888388839,0.18438025799214808
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.07283784836666667,0.21816305945,1680.0,169.0,1.0,16.951785714285716,0.14772288352821378
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.0726491705,0.20305973135,1929.0,163.0,1.0,14.754795230689476,0.15838662075750123
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.07086865641666666,0.43480739295,2560.0,589.0,1.0,27.862890625,0.1148761373354456
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.07643851536666667,0.41848336291666666,2752.0,456.0,1.0,25.831031976744185,0.10859932195760125
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.08178403921666667,0.46571569721666667,2798.0,535.0,1.0,25.641887062187276,0.12291974465475428
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.07346597083333334,0.40549325231666666,2750.0,520.0,1.0,25.81309090909091,0.13740737610233003
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.08132536801666666,0.3303521440666667,2672.0,359.0,1.0,26.606287425149702,0.11805829066561638
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.09188185661666666,11.104463646033333,3740.0,1119.0,1.0,38.13342245989305,0.09268049839081749
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.09297271856666667,12.549373701066667,3395.0,1178.0,1.0,41.88659793814433,0.0988361871945431
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.09655290193333334,1.50110121785,3511.0,812.0,1.0,40.54742238678439,0.0920189376378528
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.09146212601666667,1.5753217870833334,3452.0,777.0,1.0,41.25724217844728,0.08738941159949445
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.08865733318333334,1.2160785613333334,3959.0,588.0,1.0,35.96059611012882,0.10547314003146775
projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.0975089759,13.417730380683333,3764.0,1683.0,1.0,56.69845908607864,0.09926761724918351
projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.11534535263333333,14.04173612515,4028.0,1264.0,1.0,53.0883813306852,0.08009726898615788
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.11357806245,9.708318160066666,4.0,11996.0,2940.0,7086.25,0.02423707884988534
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.03522922545,6.770782150616666,4.0,11377.0,3461.0,7147.0,0.028158667972575907
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.0569686834,7.68245024795,4.0,11710.0,3223.0,7129.25,0.029421047094715432
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.0366042732,15.368667324366667,4.0,11250.0,2991.0,7115.75,0.02188806520746232
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.054735926666666664,8.992849692133333,4.0,11359.0,3062.0,7075.75,0.026145638271561317
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.032380865866666664,16.552216767916665,4.0,27516.0,6919.0,17775.25,0.02690538810987187
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.034664649916666665,14.964444881166667,4.0,29302.0,6922.0,17739.0,0.027171768419865832
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.042369313,17.26685524105,4.0,28166.0,8826.0,17823.5,0.023045417566695654
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.048707879833333335,14.7294070607,4.0,30569.0,6594.0,17850.5,0.026609898882384245
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.030232678566666667,12.691224775766667,4.0,25021.0,10667.0,17753.5,0.028642239558396936
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.031747720966666663,29.877310238283332,4.0,59550.0,13584.0,35623.25,0.025825830040773934
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.036250285183333335,29.9627658812,4.0,58598.0,14693.0,35634.5,0.024084805455387336
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.0368741145,29.139486586283333,4.0,54553.0,16108.0,35588.0,0.028022086096437002
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.036460341083333334,27.656313691183332,4.0,58604.0,13508.0,35674.0,0.02564192409037394
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.031743670183333336,29.845542788483332,4.0,60068.0,13006.0,35697.25,0.025113979368158613
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.03685117288333333,41.45562886916667,4.0,82885.0,23864.0,53450.5,0.0215807148670265
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.040833531,36.15210433036667,4.0,84186.0,27294.0,53541.5,0.03135418320368313
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.03822144858333333,42.41919562268333,4.0,85195.0,19553.0,53460.0,0.02414421997755331
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.06145269485,39.6210178847,4.0,93842.0,21878.0,53397.5,0.028624935624326983
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.04291065743333333,45.79991340466667,4.0,85046.0,24067.0,53350.25,0.025163893327585157
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.04947071421666667,50.0943413518,4.0,118345.0,29701.0,71201.75,0.02809270839550994
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.055000541683333334,54.65626577086667,4.0,120742.0,28284.0,71201.75,0.025150364984006714
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.04102689268333334,54.71079239825,4.0,119604.0,27694.0,71201.75,0.028485957156951902
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.06360027306666667,56.891845013466664,4.0,117578.0,29635.0,71201.75,0.022545091939453737
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.049056790266666664,57.05091646661667,4.0,123699.0,25185.0,71201.75,0.023868795359664616
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.11248768175,0.18427374601666666,3710.0,94.0,1.0,7.715633423180593,0.2725240174672489
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08917579045,0.1696989841,3369.0,105.0,1.0,8.422677352330068,0.25694248660840147
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.07441037481666667,0.20082698048333333,3220.0,137.0,1.0,8.724844720496895,0.2515839681070691
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.10547192978333333,0.20640749878333334,3532.0,103.0,1.0,8.039920724801812,0.26823255977744126
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08346203688333333,0.17878186798333334,3535.0,118.0,1.0,8.031966053748231,0.26657979079350547
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.09290343203333333,0.23391793986666667,5619.0,215.0,1.0,12.607759387791422,0.19330067896616462
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.08615773398333333,0.23097047323333333,4477.0,275.0,1.0,15.894125530489166,0.15929340341212514
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.0775104863,0.21788898716666666,4678.0,266.0,1.0,15.247969217614365,0.16147483527267628
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.1066394659,0.21245135816666666,4656.0,292.0,1.0,15.210266323024054,0.16977082421384093
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.07550014385,0.21931955928333333,4906.0,251.0,1.0,14.425397472482674,0.16683387263144508
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9534518379666667,0.50414042025,6720.0,479.0,1.0,21.175,0.13427643784786641
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,1.0853007723666668,0.8440332717666666,4530.0,680.0,1.0,31.471081677704195,0.09836985494234168
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9210301972833334,0.29855450155,6566.0,322.0,1.0,21.661437709412123,0.1375106342588361
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9387646115333333,0.38412014125,6162.0,424.0,1.0,23.067185978578383,0.12834529337273112
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9343266554333334,0.45273091206666666,7151.0,507.0,1.0,19.900013984058173,0.1458697867256948
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9954599071833333,0.5786716972,8059.0,586.0,1.0,26.488646234024074,0.11798737070903913
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9739781145,1.1033606720666667,6596.0,733.0,1.0,32.365372953305034,0.1135318200129285
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.98160916775,1.2677310436,6697.0,638.0,1.0,31.932507092728088,0.10937470774180275
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,1.2524833018333332,6.376107449816667,7261.0,1222.0,1.0,29.433824542074095,0.1091667095578774
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9792513841166667,0.6954954430666667,7376.0,598.0,1.0,28.98712039045553,0.12185642325627079
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.0373057817166667,4.7752524089,8832.0,807.0,1.0,32.24716938405797,0.11202674091577805
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.06124625125,6.425433639733333,7535.0,1287.0,1.0,37.79787657597877,0.11067845944797705
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.1259780090333333,5.862908004866667,7246.0,832.0,1.0,39.30540988131383,0.09424627905915234
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.0220544987833333,4.1709017642,8324.0,851.0,1.0,34.21516098029793,0.11583633829224703
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.0281484657666666,7.826442701566667,7915.0,1081.0,1.0,35.98319646241314,0.11443187842995432
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.050479270316666665,0.12489232451666667,1874.0,134.0,1.0,15.125933831376734,0.15296690891131023
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.044042861866666665,0.1318411671,1816.0,195.0,1.0,15.573237885462555,0.1695131006682932
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.04295105208333334,0.13566499726666667,2091.0,145.0,1.0,13.759923481587757,0.17273738356735716
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.04177931658333333,0.14120642323333332,2073.0,179.0,1.0,13.808007718282681,0.17244270542202347
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.048885592766666666,0.19836078005,2228.0,126.0,1.0,12.811041292639139,0.2012752688925481
